Riser Stretch,Stress (Elastic),Yield Strength (125ksi)
9.61,59.45,125
9.67,59.76,125
9.73,60.18,125
9.79,60.68,125
9.85,61.17,125
9.91,61.58,125
9.97,61.86,125
10.03,62.01,125
10.1,62.06,125
10.16,62.09,125
10.23,62.16,125
10.29,62.32,125
10.35,62.63,125
10.41,63.05,125
10.47,63.55,125
10.53,64.03,125
10.59,64.44,125
10.65,64.73,125
10.71,64.9,125
10.78,64.96,125
10.84,65.01,125
10.91,65.09,125
10.97,65.28,125
11.03,65.59,125
11.09,66.01,125
11.15,66.51,125
11.21,67,125
11.27,67.41,125
11.33,67.7,125
11.39,67.88,125
11.46,67.96,125
11.52,68.03,125
11.59,68.11,125
11.65,68.3,125
11.71,68.6,125
11.77,69.03,125
11.83,69.5,125
11.89,69.97,125
11.95,70.38,125
12.01,70.68,125
12.08,70.86,125
12.14,70.95,125
12.21,71.03,125
12.27,71.11,125
12.33,71.3,125
12.39,71.61,125
12.45,72.02,125
12.51,72.5,125
12.57,72.96,125
12.63,73.38,125
12.69,73.67,125
12.76,73.87,125
12.82,73.98,125
12.89,74.05,125
12.95,74.17,125
13.01,74.37,125
13.08,74.68,125
13.14,75.09,125
13.19,75.56,125
13.25,76.03,125
13.31,76.43,125
13.37,76.74,125
13.44,76.95,125
13.5,77.07,125
13.57,77.16,125
13.63,77.28,125
13.7,77.48,125
13.76,77.79,125
13.82,78.19,125
13.88,78.65,125
13.94,79.11,125
14,79.51,125
14.06,79.82,125
14.12,80.03,125
14.18,80.15,125
14.25,80.27,125
14.31,80.39,125
14.38,80.59,125
14.44,80.9,125
14.5,81.3,125
14.56,81.75,125
14.62,82.22,125
14.68,82.62,125
14.74,82.94,125
14.8,83.16,125
14.87,83.29,125
14.93,83.41,125
14.99,83.55,125
15.06,83.76,125
15.12,84.07,125
15.18,84.47,125
15.24,84.92,125
15.3,85.37,125
15.36,85.78,125
15.42,86.1,125
15.48,86.32,125
15.55,86.47,125
15.61,86.6,125
15.68,86.75,125
15.74,86.95,125
15.8,87.26,125
15.86,87.66,125
15.92,88.1,125
15.98,88.54,125
16.04,88.95,125
16.1,89.27,125
16.16,89.49,125
16.23,89.66,125
16.29,89.79,125
16.36,89.94,125
16.42,90.17,125
16.48,90.48,125
16.54,90.85,125
16.6,91.3,125
16.66,91.75,125
16.72,92.15,125
16.78,92.48,125
16.84,92.71,125
16.91,92.89,125
16.97,93.02,125
17.04,93.18,125
17.1,93.4,125
17.16,93.72,125
17.22,94.1,125
17.28,94.53,125
17.34,94.99,125
17.4,95.38,125
17.46,95.71,125
17.53,95.95,125
17.59,96.13,125
17.65,96.28,125
17.72,96.45,125
17.78,96.67,125
17.84,96.98,125
17.9,97.36,125
17.96,97.79,125
18.02,98.23,125
18.08,98.63,125
18.14,98.95,125
18.21,99.21,125
18.27,99.39,125
18.33,99.54,125
18.4,99.72,125
18.46,99.95,125
18.52,100.25,125
18.58,100.63,125
18.64,101.06,125
18.7,101.5,125
18.76,101.89,125
18.82,102.22,125
18.89,102.48,125
18.95,102.67,125
19.01,102.83,125
19.08,103.01,125
19.14,103.25,125
19.2,103.55,125
19.26,103.93,125
19.32,104.34,125
19.38,104.78,125
19.44,105.18,125
19.5,105.5,125
19.56,105.76,125
19.63,105.97,125
